system,split,k,any_gold_child_recall,mean_evidence_recall,mrr,n,ndcg,parent_recall
BM25,test,1,0.5087719298245614,0.393859649122807,0.5087719298245614,57,0.5087719298245614,0.631578947368421
BM25,test,3,0.6842105263157895,0.5903508771929824,0.5935672514619882,57,0.55304310874073,0.7719298245614035
BM25,test,5,0.7368421052631579,0.6342105263157894,0.6067251461988303,57,0.5676800981391202,0.8070175438596491
BM25,test,10,0.8421052631578947,0.7230994152046782,0.6221804511278196,57,0.6013064478638208,0.8771929824561403
BM25,test,20,0.8421052631578947,0.7441520467836257,0.6221804511278196,57,0.6093260828459774,0.8771929824561403
Dense / 3-small,test,1,0.47368421052631576,0.37046783625730995,0.47368421052631576,57,0.47368421052631576,0.631578947368421
Dense / 3-small,test,3,0.5614035087719298,0.4973684210526316,0.5146198830409358,57,0.49138904854844406,0.7017543859649122
Dense / 3-small,test,5,0.6140350877192983,0.5660818713450292,0.5277777777777778,57,0.511261961172918,0.7368421052631579
Dense / 3-small,test,10,0.7543859649122807,0.6894736842105262,0.5468462823725982,57,0.5565565606851289,0.7894736842105263
Dense / 3-small,test,20,0.8771929824561403,0.7982456140350878,0.5536099019478522,57,0.586052539539918,0.8947368421052632
Dense / 3-large,test,1,0.43859649122807015,0.3587719298245614,0.43859649122807015,57,0.43859649122807015,0.5789473684210527
Dense / 3-large,test,3,0.5964912280701754,0.5178362573099415,0.5146198830409356,57,0.4954302055157875,0.7017543859649122
Dense / 3-large,test,5,0.7192982456140351,0.6464912280701754,0.5426900584795321,57,0.5433337346134459,0.8070175438596491
Dense / 3-large,test,10,0.8070175438596491,0.7456140350877193,0.553355611250348,57,0.5785260142816332,0.8596491228070176
Dense / 3-large,test,20,0.8596491228070176,0.7894736842105263,0.5575531680794839,57,0.5916300933733281,0.8947368421052632
Hybrid RRF,test,1,0.5087719298245614,0.414327485380117,0.5087719298245614,57,0.5087719298245614,0.6842105263157895
Hybrid RRF,test,3,0.7543859649122807,0.6318713450292397,0.6257309941520469,57,0.5896664698369964,0.8421052631578947
Hybrid RRF,test,5,0.8070175438596491,0.6915204678362573,0.6380116959064328,57,0.6078978510054445,0.8947368421052632
Hybrid RRF,test,10,0.8771929824561403,0.7865497076023392,0.646393762183236,57,0.6443886403987164,0.9122807017543859
Hybrid RRF,test,20,0.9473684210526315,0.8596491228070176,0.6509517754588636,57,0.6642771169478149,0.9473684210526315
Hybrid + reranker,test,1,0.6666666666666666,0.5371345029239766,0.6666666666666666,57,0.6666666666666666,0.8070175438596491
Hybrid + reranker,test,3,0.8596491228070176,0.7444444444444445,0.7514619883040935,57,0.7088625585614634,0.8947368421052632
Hybrid + reranker,test,5,0.8771929824561403,0.781578947368421,0.7549707602339181,57,0.7196992437071293,0.9122807017543859
Hybrid + reranker,test,10,0.9298245614035088,0.8421052631578947,0.7606237816764133,57,0.7397617869117294,0.9473684210526315
Hybrid + reranker,test,20,0.9473684210526315,0.8596491228070176,0.7618769145084935,57,0.745422062528276,0.9473684210526315
